pica_p	pica_p_uf	marc21
037Q	$c	563 $a
037Q	$d	563 $a
037Q	$k	563 $a
037Q	$C	563 $u
037Q	$6	563 $u
037Q	$u	563 $u
037R	$S	938 $S
037R	$a	938 $a
037R	$9	938 $0(DE-627)
037R	$7	938 $0(DE-588)
037R	$b	938 $b
037R	$k	938 $k
005I	$l	022 $l
005I	$m	022 $m
005A	$l	022 $l
005A	$m	022 $m
009@	$b	090 $a935 $i
022A/01	$a	240/730 $a700/710/711 $t
071A	$c	700 $a
071A	$a	700 $a
071A	$P	700 $a
071A	$n	700 $b
071A	$l	700 $c
071A	$9	700 $0(DE-627)
071A	$B	700 $e
072A	$c	700 $a
072A	$a	700 $a
072A	$P	700 $a
072A	$n	700 $b
072A	$l	700 $c
072A	$9	700 $0(DE-627)
072A	$B	700 $e
073A	$c	700 $a
073A	$a	700 $a
073A	$P	700 $a
073A	$n	700 $b
073A	$l	700 $c
073A	$9	700 $0(DE-627)
073A	$B	700 $e
074A	$c	700 $a
074A	$a	700 $a
074A	$P	700 $a
074A	$n	700 $b
074A	$l	700 $c
074A	$9	700 $0(DE-627)
074A	$B	700 $e
075A	$c	700 $a
075A	$a	700 $a
075A	$P	700 $a
075A	$n	700 $b
075A	$l	700 $c
075A	$9	700 $0(DE-627)
075A	$B	700 $e
071B	$a	700 $a
072B	$a	700 $a
073B	$a	700 $a
074B	$a	700 $a
075B	$a	700 $a
071C	$a	700 $a
072C	$a	700 $a
073C	$a	700 $a
074C	$a	700 $a
075C	$a	700 $a
036C/00	$l	245 $n490 $v
036D	$X	773 $q800/810/811/830 $9
036D	$l	773 $g800/810/811/830 $v
039D	$i	776 $i
039D	$C	773 $w(Sigel)
039D	$6	773 $o $w $x $z
092B	$d	561 $a
092B	$u	561 $u
037R	$c	938 $c
037R	$d	938 $d
037R	$u	938 $u
039E	$i	780785787 $i
039E	$C	787 $w(Sigel)
039E	$6	787 $o $w $x $z
039N	$i	787 $i
039N	$C	787 $w(Sigel)
039N	$6	787 $o $w $x $z
017D	$u	856 $u
017D	$x	856 $x
017D	$4	856 $z
017H	$u	856 $u
017H	$x	856 $x
017H	$4	856 $z
032X	$e	382 $e
032X	$t	382 $t
031A	$i	936 $f773 $g
031A	$k	936 $f773 $g
031A	$l	936 $f773 $g
017R	$f	506 $f
017R	$z	506 $g
017R	$2	506 $2
045N	$a	084 $a936 $a
045N	$9	936 $0936 $0(DE-627)
045N	$j	936 $j
045N/01	$a	084 $a936 $a
045N/01	$9	936 $0936 $0(DE-627)
045N/01	$j	936 $j
045N/02	$a	084 $a936 $a
045N/02	$9	936 $0936 $0(DE-627)
045N/02	$j	936 $j
045D/60	$9	938 $0(DE-588)938 $0(DE-627)
045D/70	$9	938 $0(DE-588)938 $0(DE-627)
046G	$a	500 $a
046T	$a	500 $a
046X	$u	583 $u
045T	$9	936 $0936 $0(DE-627)
045T	$7	084 $0(DE-625)936 $0(DE-627)
045T	$a	084 $a936 $a
007P	$S	026 $2
010@	$b	041 $k
010@	$d	041 $b
010@	$e	041 $g
010@	$f	041 $j
010@	$b	041 $k
046X	$i	583 $i
013D	$A	936 $q
013F	$A	936 $q
013G	$A	936 $q
