pica_p	pica_p_uf	marc21
035E	$a	255 $a
035F	$T	880 $6
035F	$U	880 $6
035F	$a	255 $b
035G	$T	880 $6
035G	$U	880 $6
035G	$b	255 $c
035G	$c	255 $c
035G	$d	255 $c
035G	$a	255 $c
035H	$a	255 $e
033A	$T	880 $6
033A	$U	880 $6
033A	$h	264 $c
033A	$n	264 $b
033A	$p	264 $a
033E	$T	880 $6
033E	$U	880 $6
033E	$h	264 $c
033E	$n	264 $b
033E	$p	264 $a
033D	$9	751 $0(DE-627)
033D	$4	751 $4
033D	$7	751 $0(DE-588)
033D	$T	880 $6
033D	$U	880 $6
033D	$p	751 $a
033C	$T	880 $6
033C	$U	880 $6
033C	$h	264 $c
033C	$n	264 $b
033C	$p	264 $a
033F	$T	880 $6
033F	$U	880 $6
033F	$h	264 $c
033F	$n	264 $b
033F	$p	264 $a
033H	$9	751 $0(DE-627)
033H	$7	751 $0(DE-588)
033H	$T	880 $6
033H	$U	880 $6
034D	$T	880 $6
034D	$U	880 $6
034D	$a	300 $a
034M	$T	880 $6
034M	$U	880 $6
034M	$a	300 $b
034I	$T	880 $6
034I	$U	880 $6
034I	$a	300 $c
034K	$T	880 $6
034K	$U	880 $6
034K	$a	300 $e
031A	$e	936 $e773 $g
031A	$b	936 $b773 $g
031A	$j	936 $j773 $g
031A	$c	936 $c773 $g
031A	$f	936 $f773 $g
031A	$h	936 $h773 $g
031A	$g	300 $a936 $g
031A	$d	936 $d773 $g
031A	$y	936 $y773 $g
047C	$T	880 $6
047C	$U	880 $6
047C	$a	246 $a
037A	$T	880 $6
037A	$U	880 $6
037A	$a	500 $a
037B	$T	880 $6
037B	$U	880 $6
037B	$a	242 $a518 $a
047P	$T	880 $6
047P	$U	880 $6
047P	$a	555 $a
037C	$T	880 $6
037C	$U	880 $6
037C	$d	502 $b
037C	$e	502 $c
037C	$f	502 $d
037C	$g	502 $g
037C	$a	502 $a
037F	$l	500 $a937 $b
037F	$p	500 $a937 $c
037F	$a	500 $a937 $a
046U	$a	521 $a
046V	$T	880 $6
046V	$U	880 $6
046V	$a	508 $a
046C	$T	880 $6
046C	$U	880 $6
046C	$i	246 $i
046C	$a	246 $a
046H	$T	880 $6
046H	$U	880 $6
046H	$a	500 $a
046K	$a	263 $a
046L	$T	880 $6
046L	$U	880 $6
046L	$a	546 $a
046N	$T	880 $6
046N	$U	880 $6
