rbmsppe;RBMS Controlled Vocabularies: Printing and Publishing Terms;http://rbms.info/vocabularies/printing-publishing/alphabetical_list.htm;Rare Books and Manuscripts Section, Association of College & Research Libraries;;
rbmspt;RBMS Controlled Vocabularies: Paper Terms;http://rbms.info/vocabularies/paper/alphabetical_list.htm;Rare Books and Manuscripts Section, Association of College & Research Libraries;;
rbmsrd;RBMS Controlled Vocabularies: Relationship Designators;http://rbms.info/vocabularies/relators/alphabetical_list.htm;Rare Books and Manuscripts Section, Association of College & Research Libraries;;
rbmste;RBMS Controlled Vocabularies: Type Evidence;http://rbms.info/vocabularies/type/alphabetical_list.htm;Rare Books and Manuscripts Section, Association of College & Research Libraries;;
rid;ResearcherID;http://www.researcherid.com/Home.action;Thomson Reuters;;
rkda;RKDartists;https://rkd.nl/en/explore/artists;Den Haag: Rijksbureau voor Kunsthistorische Documentatie;;
saam;Smithsonian American Art Museum;http://americanart.si.edu/collections/search;Washington DC: Smithsonian Institution;;
scholaru;Scholar Universe;http://www.scholaruniverse.com/;;;
scope;Scope;http://www.scope.dk/;;da;
scopus;Scopus Author Identifier;http://www.scopus.com/;;;
sici;Serial Item and Contribution Identifier;;;;
spotify;Spotify;https://open.spotify.com/;;;
sprfbsb;Sports Reference: Baseball;http://www.baseball-reference.com/;;;
sprfbsk;Sports Reference: Basketball;http://www.basketball-reference.com/;;;
sprfcbb;Sports Reference: College Basketball;http://www.sports-reference.com/cbb/;;;
sprfcfb;Sports Reference: College Football;http://www.sports-reference.com/cfb/;;;
sprfhoc;Sports Reference: Hockey;http://www.hockey-reference.com/;;;
sprfoly;Sports Reference: Olympic Sports;http://www.sports-reference.com/olympics/;;;
sprfpfb;Sports Reference: Pro Football;http://www.pro-football-reference.com/;;;
stock-number;Publisher, distributor, or vendor stock number;;;;
strn;Standard Technical Report Number;;;;
svfilm;Svensk Filmdatabas;http://www.sfi.se/sv/svensk-filmdatabas/;;sv;
tatearid;Tate Artist Identifier;http://www.tate.org.uk/art/;;;
theatr;Theatricalia;http://theatricalia.com/;;;
trove;Trove;http://trove.nla.gov.au/;National Library of Australia;;
upc;Universal Product Code;;;;
uri;Uniform Resource Identifier;;;;
urn;Uniform Resource Name;;;;
viaf;Virtual International Authority File number;http://www.oclc.org/research/activities/viaf/;;;
videorecording-identifier;Publisher-assigned videorecording number;;;;
wikidata;Wikidata;https://www.wikidata.org/wiki;Wikimedia Foundation;;
wndla;Web NDL Authorities;http://id.ndl.go.jp/auth/ndlna;Tokyo: National Diet Library (NDL);jp;
