DE-Re12;Bayerische Staatsforsten AöR, Bibliothek
DE-M501;Bibliothek der Bayerischen Staatskanzlei München
DE-M498;Bayerische Schlösserverwaltung München
DE-B1550;Stiftung Deutsches Technikmuseum Berlin, Bibliothek
DE-1980;Deutsch-Italienisches Zentrum Villa Vigoni, Bibliothek
DE-Re5;Bischöfliche Zentralbibliothek
DE-M37;Bibliothek des Deutschen Alpenvereins München
DE-Aug11;Diözesan- und Pastoralbibliothek
DE-Freis2;Dombibliothek Freising
DE-W91;Diözesanbibliothek Würzburg
DE-B496;Stiftung Deutsches Historisches Museum, Bibliothek
DE-210;Deutsches Museum München
DE-M113;Deutsches Theatermuseum München
DE-1841;Bibliothek der Fachhochschule für öffentliche Verwaltung und Rechtspflege in Bayern - Fachbereich Polizei
DE-Bo133;Bibliothek der Friedrich-Ebert-Stiftung
DE-Mro1;Flößermuseum Unterrodach
DE-578;Medizinische Bibliothek der Charité - Universitätsmedizin Berlin
DE-B16;Museum für Naturkunde, Leibniz-Institut für Evolutions- und Biodiversitätsforschung, Bibliothek
DE-2136;Generaldirektion der Staatlichen Archive Bayerns - Bayerische Archivschule, Bibliothek
DE-M382;Bibliothek des MPI für Steuerrecht und öffentliche Finanzen München
DE-Frn1;Bibliothek des Glasmuseums Frauenau
DE-2948;Staatliche Graphische Sammlung München, Bibliothek
DE-Hrs1;Agrarhistorische Bibliothek im Haus der bayerischen Landwirtschaft Herrsching
DE-2393;Bibliothek der Heimatpflege des Bezirks Schwaben
DE-M497;Bibliothek im Haus des Deutschen Ostens München
DE-M472;Hochschule für Fernsehen und Film München
DE-M468;Hochschule für Philosophie München
DE-M333;Bayerisches Hauptstaatsarchiv, Bibliothek
DE-M481;Bibliothek der Hanns-Seidel-Stiftung München
DE-76;Fürst Thurn und Taxis Hofbibliothek
DE-B1564;Institut Kirche und Judentum, Bibliothek
DE-B2096;Bibliothek des Länderinstituts für Bienenkunde
DE-Re9;Historischer Verein für Oberpfalz und Regensburg, Bibliothek
DE-M349;Handwerkskammer für München und Oberbayern
DE-M352;Institut für Zeitgeschichte München - Berlin, Bibliothek
DE-2125;Institut für Zeitgeschichte München - Berlin, Archiv
DE-M336;Internationale Jugendbibliothek München
DE-M496;Institut für deutsche Kultur und Geschichte Südosteuropas e.V. an der Ludwig-Maximilians-Universität, Archiv und Bibliothek
DE-M492;Bibliothek des Instituts für Ostrecht München e.V. im Wissenschaftszentrum Ost- und Südosteuropa
DE-Re13;Leibniz-Institut für Ost- und Südosteuropaforschung, Bibliothek
DE-2419;Institut Papst Benedikt XVI., Bibliothek
DE-2851;Bibliothek des Staatsinstituts für Schulqualität und Bildungsforschung
DE-Fth3;Jüdisches Museum Franken, Bibliothek
DE-Bb3;Karmelitenbibliothek
DE-M499;Kommission für bayerische Landesgeschichte
DE-Mz118;Karmeliterbibliothek
DE-Aug3;Kunstsammlungen und Museen Augsburg, Bibliothek
DE-Re7;Kunstforum Ostdeutsche Galerie Regensburg, Bibliothek
DE-Y3;Bibliothek des Kunsthistorischen Instituts in Florenz
DE-255;Bibliothek des Zentralinstituts für Kunstgeschichte München
